DominanceCategory,EOO
rare,1139040
rare,3437157
rare,976222
rare,1067576
rare,5611
rare,26693
rare,8946
rare,2764612
rare,52724
rare,58667
rare,87112
rare,163571
rare,4098997
rare,591874
rare,156774
rare,18565
rare,2032540
rare,282152
rare,104828
rare,10401
rare,16886543
rare,19480
rare,54352
rare,153221
rare,1021767
rare,2655554
rare,777477
rare,3352915
rare,4998
rare,2419684
rare,106749
rare,3167837
rare,117754
rare,14078
rare,1484
rare,147282
rare,61572
rare,876949
rare,1048818
rare,10645456
rare,3830
rare,884736
rare,26697
rare,425257
rare,11567
rare,849876
rare,10921405
rare,1014499
rare,159443
rare,378570
rare,1524759
rare,683534
rare,5304308
rare,1817621
rare,126264
rare,174560
rare,19337
rare,911
rare,84054
rare,448085
rare,4431508
rare,256427
rare,4304
rare,1744616
rare,1576992
rare,2703815
rare,206691
rare,60850
rare,146835
rare,2555507
rare,732371
rare,1137610
rare,768406
rare,5604426
rare,3533880
rare,58750
rare,53162
rare,32053
rare,3457496
rare,658556
rare,229233
rare,4961217
rare,4929541
rare,33994
rare,173669
rare,266661
rare,538047
rare,5782754
rare,1996
rare,519173
rare,13348089
rare,527942
rare,73849
rare,7769
rare,15219375
rare,783045
rare,769034
rare,14571
rare,1041293
rare,10647281
rare,110456
rare,2839607
rare,763556
rare,2518405
rare,3344594
rare,45231
rare,960340
rare,385518
rare,11861
rare,17281
rare,3069
rare,191
rare,65675
rare,282737
rare,24046
rare,2086746
rare,3317596
rare,118777
rare,3324163
rare,14009
rare,5851315
rare,1342497
rare,1
rare,2040216
rare,4210240
rare,36
rare,113853
rare,3898234
rare,241756
rare,913004
rare,1064081
rare,293716
rare,19109
rare,4500649
rare,5992
rare,2305192
rare,3635121
rare,3485184
rare,163801
rare,44658
rare,1930128
rare,782148
rare,93472
rare,50121
rare,62185
rare,911849
rare,153523
rare,3164740
rare,11161
rare,2921705
rare,3963
rare,1478717
rare,1754231
rare,341327
rare,4229
rare,3087821
rare,227053
rare,5709
rare,1016775
rare,13362
rare,948971
rare,1242757
rare,3262574
rare,522764
rare,1596984
rare,4439584
rare,11
rare,5
rare,88291
rare,443607
rare,1305
rare,1475230
rare,7094
rare,838372
rare,82663
rare,326060
rare,255452
rare,230667
rare,564307
rare,474
rare,559275
rare,90488
rare,1968
dominant,1141
rare,9913
rare,130519
rare,80939
rare,10618
rare,108128
rare,16336
rare,217624
rare,8401978
rare,142367
rare,22766
rare,33791
rare,56464
dominant,215134
rare,849638
rare,213959
rare,163770
rare,36414
rare,1600
rare,822339
rare,69310
rare,13647
rare,2921909
rare,1074523
rare,1243
rare,367237
dominant,1624108
rare,44187
rare,6263968
rare,54539
rare,123396
dominant,180592
rare,88491
rare,2941685
rare,178226
rare,10919
rare,1792444
rare,3989644
rare,10424
rare,401620
rare,106884
rare,7291
rare,8387286
rare,56982
rare,2857
rare,327369
rare,77975
rare,1195867
rare,5844
rare,492789
rare,44853
rare,148693
rare,6303
rare,85873
rare,1985
rare,7919547
rare,1650659
rare,423224
rare,89322
rare,2914360
rare,38375
rare,30306
rare,10563802
rare,35818116
rare,51901
rare,1240
rare,4272
rare,29951
rare,672
rare,141425
rare,247994
rare,767746
rare,15320
dominant,3034949
rare,458612
rare,214386
rare,3926895
rare,674702
rare,629228
rare,1414
rare,2221168
rare,249953
rare,5473494
rare,19
rare,818613
rare,23757
rare,17630
rare,470799
rare,402
rare,501898
rare,12742
rare,10461
rare,398948
rare,108063
rare,4111926
rare,220
rare,122
rare,530500
dominant,41818
rare,1461822
rare,20543
rare,83265
rare,3750729
rare,6397680
rare,8255
rare,1635
rare,1560262
rare,148215
rare,7083
rare,1139
rare,40318
rare,29070
rare,3252484
rare,838458
rare,285770
dominant,60362
rare,102699
rare,440742
rare,6266
rare,541
dominant,675263
rare,21636
dominant,2112215
rare,817946
rare,9668547
dominant,3745238
rare,2757501
rare,2077111
rare,145
dominant,146308
dominant,1946279
rare,25026
dominant,287889
dominant,129323
dominant,12187431
dominant,2523514
dominant,1605129
dominant,715804
dominant,105614
dominant,13546
dominant,5793378
dominant,354394
dominant,4574342
dominant,79284
dominant,1003656
dominant,122244
dominant,953499
dominant,16791
dominant,246504
dominant,219550
dominant,13783528
dominant,3068018
dominant,1929440
